iter	Passed	Remaining
154	320	1749
155	322	1742
156	323	1737
157	325	1733
158	326	1726
159	327	1720
160	328	1711
161	329	1705
162	330	1699
163	331	1692
164	332	1685
165	334	1681
166	335	1674
167	336	1668
168	338	1662
169	339	1655
170	340	1649
171	341	1644
172	342	1638
173	344	1633
174	345	1626
175	346	1620
176	347	1616
177	348	1609
178	349	1604
179	350	1597
180	352	1593
181	353	1590
182	355	1584
183	356	1578
184	356	1572
185	357	1566
186	360	1565
187	362	1564
188	363	1560
189	364	1554
190	366	1550
191	367	1546
192	368	1541
193	371	1541
194	372	1537
195	373	1532
196	374	1528
197	376	1523
198	378	1523
199	379	1518
200	380	1513
201	381	1508
202	382	1502
203	384	1498
204	385	1493
205	386	1490
206	387	1485
207	388	1480
208	390	1476
209	391	1472
210	392	1467
211	393	1462
212	394	1457
213	395	1452
214	396	1448
215	397	1444
216	399	1440
217	400	1435
218	401	1430
219	402	1425
220	403	1421
221	404	1416
222	405	1412
223	406	1407
224	407	1402
225	408	1397
226	408	1392
227	410	1388
228	411	1386
229	412	1382
230	413	1377
231	414	1373
232	416	1371
233	418	1370
234	419	1365
235	420	1361
236	421	1358
237	422	1354
238	424	1351
239	425	1346
240	426	1342
241	427	1338
242	428	1334
243	429	1330
244	430	1326
245	431	1322
246	432	1318
247	433	1314
248	434	1310
249	435	1307
250	437	1304
251	438	1300
252	439	1296
253	440	1293
254	441	1289
255	442	1286
256	443	1282
257	444	1278
258	445	1274
259	446	1270
260	447	1267
261	448	1264
262	449	1260
263	450	1256
264	452	1253
265	453	1250
266	454	1248
267	455	1244
268	456	1240
269	457	1237
270	458	1233
271	459	1230
272	461	1227
273	462	1224
274	463	1221
275	464	1218
276	465	1215
277	466	1212
278	468	1209
279	469	1206
280	470	1203
281	471	1200
282	472	1198
283	473	1194
284	474	1191
285	476	1188
286	477	1186
287	478	1183
288	480	1180
289	481	1177
290	482	1174
291	483	1171
292	484	1168
293	485	1165
294	486	1162
295	487	1159
296	488	1156
297	489	1152
298	490	1150
299	492	1148
300	493	1145
301	494	1142
302	495	1140
303	496	1137
304	497	1134
305	498	1130
306	499	1127
307	500	1124
308	501	1121
309	502	1118
310	503	1115
311	504	1112
312	505	1110
313	507	1107
314	508	1105
315	510	1105
316	511	1102
317	512	1099
318	513	1096
319	514	1094
320	515	1091
321	517	1088
322	517	1085
323	518	1082
324	519	1079
325	520	1077
326	522	1074
327	523	1072
328	524	1069
329	525	1066
330	526	1064
331	527	1061
332	529	1060
333	530	1057
334	531	1054
335	532	1052
336	533	1049
337	534	1047
338	536	1045
339	537	1042
340	538	1039
341	539	1037
342	540	1035
343	541	1033
344	542	1030
345	543	1027
346	544	1025
347	546	1023
348	547	1020
349	548	1018
350	549	1015
351	550	1013
352	551	1010
353	552	1008
354	553	1005
355	554	1003
356	555	1000
357	556	998
358	557	996
359	558	993
360	560	991
361	561	988
362	562	986
363	563	984
364	564	982
365	565	979
366	566	977
367	567	975
368	568	972
369	570	970
370	571	968
371	572	966
372	573	964
373	574	962
374	575	959
375	576	957
376	578	955
377	580	954
378	583	956
379	588	959
380	589	957
381	590	955
382	591	953
383	592	950
384	594	949
385	595	947
386	596	944
387	597	942
388	598	940
389	599	938
390	601	936
391	602	934
392	603	931
393	604	929
394	605	927
395	606	925
396	607	923
397	608	920
398	609	918
399	610	916
400	612	914
401	613	912
402	614	910
403	615	908
404	616	906
405	618	904
406	619	902
407	620	900
408	621	898
409	622	896
410	623	894
411	624	891
412	625	889
413	626	887
414	627	885
415	628	882
416	630	881
417	631	879
418	632	877
419	633	875
420	635	873
421	636	871
422	637	869
423	639	869
424	640	866
425	642	865
426	643	863
427	644	860
428	645	858
429	646	856
430	647	854
431	648	852
432	649	850
433	651	849
434	652	847
435	653	844
436	654	842
437	655	840
438	656	838
439	657	836
440	658	834
441	659	832
442	660	830
443	661	828
444	663	827
445	665	826
446	666	824
447	667	822
448	668	820
449	669	818
450	670	816
451	671	814
452	672	812
453	674	810
454	675	808
455	676	806
456	677	805
457	678	802
458	679	801
459	680	799
460	681	796
461	682	794
462	683	792
463	684	790
464	685	788
465	686	786
466	687	784
467	688	782
468	689	780
469	690	778
470	691	776
